Barri,Metres_Quadrats,Num_Habitacions,Num_Lavabos,Preu,Tipus_Immoble
Fort Pienc,120,4,2,1.750 €,Piso
Sagrada Família,82,3,2,1.300 €,Piso
Sant Gervasi - Galvany,65,2,1,1.380 €,Piso
Vila Olímpica,70,2,1,1.150 €,Piso
Vila de Gràcia,60,3,1,975 €,Piso
Barceloneta,86,2,2,1.195 €,Piso
Dreta de l´Eixample,180,3,2,3.000 €,Piso
Sant Gervasi - Galvany,153,5,3,2.800 €,Piso
Esquerra Alta de l´Eixample,70,2,1,1.075 €,Piso
Sarrià,124,4,2,3.651 €,Piso
Gòtic,42,,1,850 €,Loft
Raval,96,3,2,1.900 €,Piso
Poblenou,60,2,1,990 €,Piso
Les Corts,165,4,2,1.950 €,Apartamento
Poblenou,80,3,1,1.000 €,Piso
Gòtic,120,2,2,1.800 €,Dúplex
Carmel,55,3,1,700 €,Piso
Sant Gervasi - Bonanova,430,3,5,12.000 €,Casa
Sant Gervasi - Galvany,120,4,2,1.850 €,Piso
St. Pere - Sta. Caterina - El Born,80,2,2,1.150 €,Piso
Putget - Farró,177,5,3,1.900 €,Piso
Dreta de l´Eixample,49,,1,1.000 €,Piso
Les Corts,140,5,3,2.015 €,Piso
Raval,49,2,1,900 €,Apartamento
Vila de Gràcia,90,4,1,1.100 €,Piso
Vila de Gràcia,32,,1,700 €,Apartamento
Sant Gervasi - Bonanova,200,4,3,3.500 €,Apartamento
Les Corts,70,3,1,875 €,Ático
Provençals del Poblenou,69,2,1,1.200 €,Piso
Tres Torres,150,3,2,2.950 €,Piso
Sant Gervasi - Bonanova,650,5,6,12.000 €,Casa
Vila Olímpica,135,4,3,1.550 €,Ático
Poble Sec,71,3,1,900 €,Piso
Sagrada Família,85,,1,680 €,Loft
Sant Gervasi - Galvany,117,3,2,1.700 €,Piso
Sarrià,57,,1,1.529 €,Piso
Poble Sec,45,2,2,850 €,Piso
Les Corts,65,2,2,1.150 €,Piso
Sant Gervasi - Galvany,73,2,2,1.300 €,Piso
Esquerra Baixa de l´Eixample,60,2,1,800 €,Piso
Sant Gervasi - Bonanova,68,2,1,1.000 €,Piso
St. Pere - Sta. Caterina - El Born,86,3,1,1.590 €,Ático
El Clot,47,,1,875 €,Apartamento
Poblenou,83,3,2,1.000 €,Piso
St. Pere - Sta. Caterina - El Born,50,,1,750 €,Piso
Badal,60,,1,850 €,Estudio
Sagrada Família,50,,1,850 €,Piso
Barceloneta,35,,1,570 €,Piso
Sant Gervasi - Galvany,127,3,2,2.400 €,Ático
Vallcarca - Penitents,48,3,1,775 €,Piso
Badal,55,2,1,1.100 €,Piso
Pedralbes,270,4,4,4.300 €,Piso
Guinardó,90,3,1,790 €,Piso
Poblenou,55,,1,1.000 €,Piso
Vallcarca - Penitents,41,,1,750 €,Piso
Poble Sec,30,,1,575 €,Estudio
Sagrada Família,65,2,1,950 €,Piso
Glòries El Parc,70,2,1,1.150 €,Apartamento
Esquerra Alta de l´Eixample,150,3,2,1.550 €,Apartamento
Sant Gervasi - Bonanova,95,2,2,1.190 €,Piso
Sarrià,80,3,1,1.250 €,Piso
La Marina-Montjuïc,100,3,2,1.390 €,Piso
Badal,92,3,2,950 €,Piso
Dreta de l´Eixample,135,4,3,2.200 €,Piso
Turó de la Peira - Can Peguera,58,2,1,695 €,Piso
Raval,50,2,1,750 €,Piso
Les Corts,100,3,2,1.100 €,Piso
Navas,102,3,2,1.100 €,Piso
Sant Gervasi - Galvany,325,5,5,4.800 €,Piso
Sarrià,72,,1,1.450 €,Ático
Dreta de l´Eixample,70,2,1,1.150 €,Piso
Les Corts,55,,1,750 €,Planta
Dreta de l´Eixample,148,3,2,1.970 €,Piso
Raval,138,3,2,975 €,Piso
Sant Andreu,135,3,2,950 €,Piso
Gòtic,95,3,2,1.123 €,Piso
Dreta de l´Eixample,100,2,2,1.250 €,Piso
Sarrià,65,2,1,1.200 €,Piso
Sarrià,97,3,2,1.400 €,Piso
Les Corts,71,2,1,1.400 €,Piso
Esquerra Alta de l´Eixample,60,,1,950 €,Piso
Dreta de l´Eixample,65,,1,2.100 €,Ático
Dreta de l´Eixample,105,2,2,2.200 €,Piso
Sagrada Família,93,4,2,1.200 €,Piso
Esquerra Alta de l´Eixample,85,3,1,1.250 €,Piso
Poble Sec,50,,1,700 €,Piso
Dreta de l´Eixample,78,,1,1.600 €,Piso
Badal,70,2,2,1.100 €,Piso
Dreta de l´Eixample,106,4,2,1.800 €,Piso
Raval,62,2,1,700 €,Piso
Sant Martí,58,3,1,925 €,Piso
Congrés - Indians,70,2,1,800 €,Piso
Sant Ramon - Maternitat,84,3,2,1.050 €,Apartamento
Fort Pienc,51,2,1,940 €,Piso
Putget - Farró,67,2,1,700 €,Piso
Putget - Farró,55,2,1,790 €,Piso
Vallcarca - Penitents,238,4,4,4.600 €,Casa
Dreta de l´Eixample,135,4,2,1.550 €,Piso
St. Pere - Sta. Caterina - El Born,39,,1,550 €,Piso
Sarrià,340,4,3,9.500 €,Casa
La Marina-Montjuïc,87,3,1,1.375 €,Ático
Raval,75,3,1,1.000 €,Apartamento
Les Corts,62,2,1,1.200 €,Piso
Sagrada Família,70,3,1,900 €,Piso
Esquerra Alta de l´Eixample,120,3,2,1.300 €,Ático
Putget - Farró,170,3,3,2.800 €,Piso
Barceloneta,47,2,1,750 €,Piso
Sarrià,640,7,7,7.700 €,Casa
Hostafrancs,71,2,2,900 €,Piso
Dreta de l´Eixample,75,2,2,1.050 €,Piso
Camp d´en Grassot - Gràcia N.,58,2,1,895 €,Piso
