"","Barri","Metres_Quadrats","Num_Habitacions","Num_Lavabos","Preu","Tipus_Immoble","Districte"
"76","Dreta de l´Eixample",90,2,2,2400,"Piso","Eixample"
"77","Gòtic",94,2,2,1200,"Piso","Ciutat Vella"
"78","Sant Gervasi - Galvany",158,3,2,3900,"Ático","Sarrià-Sant Gervasi"
"80","Guinardó",63,2,1,810,"Piso","Horta-Guinardó"
"82","Camp de l´Arpa",138,3,2,1550,"Piso","Sant Martí"
"83","Dreta de l´Eixample",110,4,2,2050,"Piso","Eixample"
"84","St. Pere - Sta. Caterina - El Born",110,2,1,1400,"Piso","Ciutat Vella"
"85","Putget - Farró",60,2,1,800,"Apartamento","Sarrià-Sant Gervasi"
"86","Sants",84,3,2,1200,"Ático","Sants-Montjuïc"
"87","La Marina-Montjuïc",80,2,1,1000,"Piso","Sants-Montjuïc"
"88","Sant Gervasi - Galvany",190,5,2,8000,"Dúplex","Sarrià-Sant Gervasi"
"89","Baix Guinardó",180,3,2,1600,"Dúplex","Horta-Guinardó"
"91","Guinardó",57,2,1,700,"Piso","Horta-Guinardó"
"92","Gòtic",90,2,1,1095,"Piso","Ciutat Vella"
"93","Sarrià",115,3,2,2893,"Piso","Sarrià-Sant Gervasi"
"95","Dreta de l´Eixample",70,2,1,1600,"Piso","Eixample"
"96","Sagrada Família",83,3,2,1050,"Piso","Eixample"
"97","Sants",67,2,1,950,"Piso","Sants-Montjuïc"
"100","Pedralbes",200,4,3,2800,"Piso","Les Corts"
"101","Dreta de l´Eixample",78,2,1,950,"Piso","Eixample"
"103","Badal",80,3,1,995,"Piso","Sants-Montjuïc"
"104","Les Corts",100,3,2,1300,"Piso","Les Corts"
"105","Sants",70,2,2,945,"Piso","Sants-Montjuïc"
"107","Sants",101,3,2,1000,"Piso","Sants-Montjuïc"
"108","Vallcarca - Penitents",68,3,1,840,"Piso","Gràcia"
"109","Sant Andreu",54,2,1,920,"Ático","Sant Andreu"
"110","Sant Gervasi - Bonanova",170,4,3,2300,"Ático","Sarrià-Sant Gervasi"
"111","Gòtic",57,2,1,1358,"Piso","Ciutat Vella"
"112","Diagonal Mar - La Mar Bella",121,3,2,2650,"Piso","Sant Martí"
"114","Sants",100,3,2,1010,"Piso","Sants-Montjuïc"
"115","Les Corts",166,4,3,2100,"Piso","Les Corts"
"116","Sant Gervasi - Galvany",156,4,2,1790,"Piso","Sarrià-Sant Gervasi"
"117","Esquerra Alta de l´Eixample",90,3,2,1300,"Piso","Eixample"
"119","St. Pere - Sta. Caterina - El Born",70,2,1,1150,"Piso","Ciutat Vella"
"120","Sant Gervasi - Bonanova",135,3,2,1900,"Piso","Sarrià-Sant Gervasi"
"121","Porta",54,3,1,800,"Piso","Nou Barris"
"122","Fort Pienc",120,4,2,1750,"Piso","Eixample"
"123","Sagrada Família",82,3,2,1300,"Piso","Eixample"
"124","Sant Gervasi - Galvany",65,2,1,1380,"Piso","Sarrià-Sant Gervasi"
"125","Vila Olímpica",70,2,1,1150,"Piso","Sant Martí"
"126","Vila de Gràcia",60,3,1,975,"Piso","Gràcia"
"127","Barceloneta",86,2,2,1195,"Piso","Ciutat Vella"
"128","Dreta de l´Eixample",180,3,2,3000,"Piso","Eixample"
"129","Sant Gervasi - Galvany",153,5,3,2800,"Piso","Sarrià-Sant Gervasi"
"130","Esquerra Alta de l´Eixample",70,2,1,1075,"Piso","Eixample"
"131","Sarrià",124,4,2,3651,"Piso","Sarrià-Sant Gervasi"
"133","Raval",96,3,2,1900,"Piso","Ciutat Vella"
"134","Poblenou",60,2,1,990,"Piso","Sant Martí"
"135","Les Corts",165,4,2,1950,"Apartamento","Les Corts"
"136","Poblenou",80,3,1,1000,"Piso","Sant Martí"
"137","Gòtic",120,2,2,1800,"Dúplex","Ciutat Vella"
"138","Carmel",55,3,1,700,"Piso","Horta-Guinardó"
"139","Sant Gervasi - Bonanova",430,3,5,12000,"Casa","Sarrià-Sant Gervasi"
"140","Sant Gervasi - Galvany",120,4,2,1850,"Piso","Sarrià-Sant Gervasi"
"141","St. Pere - Sta. Caterina - El Born",80,2,2,1150,"Piso","Ciutat Vella"
"142","Putget - Farró",177,5,3,1900,"Piso","Sarrià-Sant Gervasi"
"144","Les Corts",140,5,3,2015,"Piso","Les Corts"
"145","Raval",49,2,1,900,"Apartamento","Ciutat Vella"
"146","Vila de Gràcia",90,4,1,1100,"Piso","Gràcia"
"148","Sant Gervasi - Bonanova",200,4,3,3500,"Apartamento","Sarrià-Sant Gervasi"
"149","Les Corts",70,3,1,875,"Ático","Les Corts"
"150","Provençals del Poblenou",69,2,1,1200,"Piso","Sant Martí"
"151","Tres Torres",150,3,2,2950,"Piso","Sarrià-Sant Gervasi"
"152","Sant Gervasi - Bonanova",650,5,6,12000,"Casa","Sarrià-Sant Gervasi"
"153","Vila Olímpica",135,4,3,1550,"Ático","Sant Martí"
"154","Poble Sec",71,3,1,900,"Piso","Sants-Montjuïc"
"156","Sant Gervasi - Galvany",117,3,2,1700,"Piso","Sarrià-Sant Gervasi"
"158","Poble Sec",45,2,2,850,"Piso","Sants-Montjuïc"
"159","Les Corts",65,2,2,1150,"Piso","Les Corts"
"160","Sant Gervasi - Galvany",73,2,2,1300,"Piso","Sarrià-Sant Gervasi"
"161","Esquerra Baixa de l´Eixample",60,2,1,800,"Piso","Eixample"
"162","Sant Gervasi - Bonanova",68,2,1,1000,"Piso","Sarrià-Sant Gervasi"
"163","St. Pere - Sta. Caterina - El Born",86,3,1,1590,"Ático","Ciutat Vella"
"165","Poblenou",83,3,2,1000,"Piso","Sant Martí"
"170","Sant Gervasi - Galvany",127,3,2,2400,"Ático","Sarrià-Sant Gervasi"
"171","Vallcarca - Penitents",48,3,1,775,"Piso","Gràcia"
"172","Badal",55,2,1,1100,"Piso","Sants-Montjuïc"
"173","Pedralbes",270,4,4,4300,"Piso","Les Corts"
"174","Guinardó",90,3,1,790,"Piso","Horta-Guinardó"
"178","Sagrada Família",65,2,1,950,"Piso","Eixample"
"179","Glòries El Parc",70,2,1,1150,"Apartamento","Sant Martí"
"180","Esquerra Alta de l´Eixample",150,3,2,1550,"Apartamento","Eixample"
"181","Sant Gervasi - Bonanova",95,2,2,1190,"Piso","Sarrià-Sant Gervasi"
"182","Sarrià",80,3,1,1250,"Piso","Sarrià-Sant Gervasi"
"183","La Marina-Montjuïc",100,3,2,1390,"Piso","Sants-Montjuïc"
"184","Badal",92,3,2,950,"Piso","Sants-Montjuïc"
"185","Dreta de l´Eixample",135,4,3,2200,"Piso","Eixample"
"186","Turó de la Peira - Can Peguera",58,2,1,695,"Piso","Nou Barris"
"187","Raval",50,2,1,750,"Piso","Ciutat Vella"
"188","Les Corts",100,3,2,1100,"Piso","Les Corts"
"189","Navas",102,3,2,1100,"Piso","Sant Andreu"
"190","Sant Gervasi - Galvany",325,5,5,4800,"Piso","Sarrià-Sant Gervasi"
"192","Dreta de l´Eixample",70,2,1,1150,"Piso","Eixample"
"194","Dreta de l´Eixample",148,3,2,1970,"Piso","Eixample"
"195","Raval",138,3,2,975,"Piso","Ciutat Vella"
"196","Sant Andreu",135,3,2,950,"Piso","Sant Andreu"
"197","Gòtic",95,3,2,1123,"Piso","Ciutat Vella"
"198","Dreta de l´Eixample",100,2,2,1250,"Piso","Eixample"
"199","Sarrià",65,2,1,1200,"Piso","Sarrià-Sant Gervasi"
"200","Sarrià",97,3,2,1400,"Piso","Sarrià-Sant Gervasi"
"201","Les Corts",71,2,1,1400,"Piso","Les Corts"
"204","Dreta de l´Eixample",105,2,2,2200,"Piso","Eixample"
"205","Sagrada Família",93,4,2,1200,"Piso","Eixample"
"206","Esquerra Alta de l´Eixample",85,3,1,1250,"Piso","Eixample"
"209","Badal",70,2,2,1100,"Piso","Sants-Montjuïc"
"210","Dreta de l´Eixample",106,4,2,1800,"Piso","Eixample"
